user_id,order_id,purchase_ts,purchase_ts_cleaned,purchase_year,purchase_month,time_to_ship,ship_ts,product_name,product_name_cleaned,product_id,usd_price,purchase_platform,marketing_channel,marketing_channel_cleaned,account_creation_method,account_creation_method_cleaned,country_code,date_check,region,revenue
563f3664,fcffccf998a37874,28-02-2021,2021-02-28,2021,2,2,2021-03-02,Dell Gaming Mouse,dell gaming mouse,8d4f, $49.98 ,mobile app,email,email,desktop,desktop,US,TRUE,NA,49.98
5dc182d2,e22f13ed65b40901,28-02-2021,2021-02-28,2021,2,2,2021-03-02,Dell Gaming Mouse,dell gaming mouse,8d4f, $49.98 ,mobile app,direct,direct,desktop,desktop,US,TRUE,NA,49.98
c8611dac,da3d8982ca484718,28-02-2021,2021-02-28,2021,2,2,2021-03-02,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,8315, $23.78 ,mobile app,email,email,desktop,desktop,HK,TRUE,EMEA,23.78
ee3a8610,cea650a77cf100629,28-02-2021,2021-02-28,2021,2,1,2021-03-01,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,4c58, $23.98 ,mobile app,direct,direct,desktop,desktop,US,TRUE,NA,23.98
439f68f8,cd78025e15730437,28-02-2021,2021-02-28,2021,2,2,2021-03-02,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,4db1, $13.98 ,mobile app,email,email,desktop,desktop,US,TRUE,NA,13.98
6adf0f56,fd90aa2aea446089,28-02-2021,2021-02-28,2021,2,3,2021-03-03,27in 4K gaming monitor,27in 4k gaming monitor,e7e6, $480.00 ,website,direct,direct,desktop,desktop,PH,TRUE,APAC,480.0
2ba284b5,f419f9ba0df20651,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Nintendo Switch,nintendo switch,e682, $168.00 ,website,direct,direct,desktop,desktop,CL,TRUE,EMEA,168.0
a288150,f419f9ba0df20651,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Nintendo Switch,nintendo switch,e682, $168.00 ,website,direct,direct,desktop,desktop,CL,TRUE,EMEA,168.0
eaa393cb,f2834cfcefa99132,28-02-2021,2021-02-28,2021,2,3,2021-03-03,Nintendo Switch,nintendo switch,8d0d, $168.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,168.0
a39898,f2834cfcefa99132,28-02-2021,2021-02-28,2021,2,3,2021-03-03,Nintendo Switch,nintendo switch,8d0d, $168.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,168.0
fbbe7f96,f1ce5fc7872106314,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Nintendo Switch,nintendo switch,e682, $162.75 ,website,direct,direct,desktop,desktop,RU,TRUE,APAC,162.75
be73293,f1ce5fc7872106314,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Nintendo Switch,nintendo switch,e682, $162.75 ,website,direct,direct,desktop,desktop,RU,TRUE,APAC,162.75
32615aac,e8525e7796423461,28-02-2021,2021-02-28,2021,2,2,2021-03-02,27in 4K gaming monitor,27in 4k gaming monitor,e7e6, $480.00 ,website,email,email,desktop,desktop,US,TRUE,NA,480.0
539ec882,de03cd1003a36857,28-02-2021,2021-02-28,2021,2,3,2021-03-03,Nintendo Switch,nintendo switch,e682, $168.00 ,website,email,email,desktop,desktop,US,TRUE,NA,168.0
a8ba1ad3,d581cf612f771496,28-02-2021,2021-02-28,2021,2,3,2021-03-03,Sony PlayStation 5 Bundle,sony playstation 5 bundle,54ed," $1,530.00 ",website,direct,direct,desktop,desktop,PE,TRUE,LATAM,1530.0
ad42384c,d52489b3eaf73412,28-02-2021,2021-02-28,2021,2,2,2021-03-02,Nintendo Switch,nintendo switch,e682, $164.88 ,website,direct,direct,desktop,desktop,FR,TRUE,EMEA,164.88
7f6993f9,d4128d7cb0854426,28-02-2021,2021-02-28,2021,2,1,2021-03-01,27in 4K gaming monitor,27in 4k gaming monitor,e7e6, $480.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,480.0
fc145dee,d1dea3b64ee106468,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Nintendo Switch,nintendo switch,e682, $168.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,168.0
1826929d,d18218dc0ff12836,28-02-2021,2021-02-28,2021,2,2,2021-03-02,Sony PlayStation 5 Bundle,sony playstation 5 bundle,54ed," $1,787.03 ",website,direct,direct,desktop,desktop,CA,TRUE,EMEA,1787.03
6a1c1bbd,ccd07eabf9d45807,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Lenovo IdeaPad Gaming 3,lenovo ideapad gaming 3,04ac," $1,018.30 ",website,direct,direct,desktop,desktop,SA,TRUE,EMEA,1018.3
bf01afe1,cc7b410289a80868,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Nintendo Switch,nintendo switch,e682, $164.64 ,website,direct,direct,desktop,desktop,NO,TRUE,EMEA,164.64
aa32fc51,c7ed57e16b472153,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Nintendo Switch,nintendo switch,8d0d, $162.75 ,website,direct,direct,desktop,desktop,DE,TRUE,EMEA,162.75
c8f1df92,c60ba930d5884969,28-02-2021,2021-02-28,2021,2,3,2021-03-03,Nintendo Switch,nintendo switch,8d0d, $168.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,168.0
26e89e81,c4c7637ace018754,28-02-2021,2021-02-28,2021,2,3,2021-03-03,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,ab0f, $24.00 ,website,email,email,desktop,desktop,US,TRUE,NA,24.0
9d3fed19,c1b7e93577a66480,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Nintendo Switch,nintendo switch,e682, $168.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,168.0
8a694f2a,c12960d584558773,28-02-2021,2021-02-28,2021,2,3,2021-03-03,27in 4K gaming monitor,27in 4k gaming monitor,891b, $451.10 ,website,direct,direct,desktop,desktop,IT,TRUE,EMEA,451.1
734ed6a0,c066c5b329849530,28-02-2021,2021-02-28,2021,2,2,2021-03-02,Nintendo Switch,nintendo switch,e682, $168.00 ,website,direct,direct,desktop,desktop,IS,TRUE,EMEA,168.0
f84e4518,bf34bdc9988104907,28-02-2021,2021-02-28,2021,2,1,2021-03-01,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,ab0f, $24.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,24.0
eb40b7ef,beeb56de18199399,28-02-2021,2021-02-28,2021,2,3,2021-03-03,27in 4K gaming monitor,27in 4k gaming monitor,891b, $480.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,480.0
b75441b0,bd89c379bfd77657,28-02-2021,2021-02-28,2021,2,2,2021-03-02,Nintendo Switch,nintendo switch,e682, $168.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,168.0
995f7779,bb54f1b5edb64869,28-02-2021,2021-02-28,2021,2,1,2021-03-01,Nintendo Switch,nintendo switch,e682, $105.73 ,website,direct,direct,desktop,desktop,MX,TRUE,LATAM,105.73
8da20e6b,bb0f73f6b5f60150,28-02-2021,2021-02-28,2021,2,2,2021-03-02,Nintendo Switch,nintendo switch,8d0d, $164.69 ,website,direct,direct,desktop,desktop,FR,TRUE,EMEA,164.69
dff31285,f7f9716845694670,27-02-2021,2021-02-27,2021,2,3,2021-03-02,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,4db1, $13.98 ,mobile app,email,email,desktop,desktop,US,TRUE,NA,13.98
524b4279,efcb85bd57e36312,27-02-2021,2021-02-27,2021,2,1,2021-02-28,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,4c58, $14.71 ,mobile app,direct,direct,desktop,desktop,CA,TRUE,EMEA,14.71
1c472157,e28b7922d7a14543,27-02-2021,2021-02-27,2021,2,1,2021-02-28,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,8315, $23.62 ,mobile app,email,email,desktop,desktop,US,TRUE,NA,23.62
39753d16,dd7649f0d2e26249,27-02-2021,2021-02-27,2021,2,2,2021-03-01,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,4db1, $23.98 ,mobile app,email,email,desktop,desktop,US,TRUE,NA,23.98
811157ea,b8763e65f4055081,27-02-2021,2021-02-27,2021,2,2,2021-03-01,JBL Quantum 100 Gaming Headset,jbl quantum 100 gaming headset,4db1, $13.50 ,mobile app,email,email,desktop,desktop,GB,TRUE,EMEA,13.5
d209a22c,fd433d0794388662,27-02-2021,2021-02-27,2021,2,1,2021-02-28,Nintendo Switch,nintendo switch,8d0d, $168.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,168.0
09a1410,fd433d0794388662,27-02-2021,2021-02-27,2021,2,1,2021-02-28,Nintendo Switch,nintendo switch,8d0d, $168.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,168.0
4c49896e,f8e9ab7667433931,27-02-2021,2021-02-27,2021,2,1,2021-02-28,Nintendo Switch,nintendo switch,e682, $168.00 ,website,affiliate,affiliate,unknown,unknown,US,TRUE,NA,168.0
4987723,f8e9ab7667433931,27-02-2021,2021-02-27,2021,2,1,2021-02-28,Nintendo Switch,nintendo switch,e682, $168.00 ,website,affiliate,affiliate,unknown,unknown,US,TRUE,NA,168.0
a8e5ee80,f21ab9355c571571,27-02-2021,2021-02-27,2021,2,2,2021-03-01,Nintendo Switch,nintendo switch,e682, $168.00 ,website,direct,direct,desktop,desktop,EG,TRUE,EMEA,168.0
e5e2134,f21ab9355c571571,27-02-2021,2021-02-27,2021,2,2,2021-03-01,Nintendo Switch,nintendo switch,e682, $168.00 ,website,direct,direct,desktop,desktop,EG,TRUE,EMEA,168.0
4602d34c,e9b718dad5731427,27-02-2021,2021-02-27,2021,2,3,2021-03-02,27in 4K gaming monitor,27in 4k gaming monitor,e7e6, $515.37 ,website,direct,direct,desktop,desktop,GB,TRUE,EMEA,515.37
0ec90fbf,e324d6bfe5a9071,27-02-2021,2021-02-27,2021,2,1,2021-02-28,27in 4K gaming monitor,27in 4k gaming monitor,891b, $439.19 ,website,email,email,desktop,desktop,AT,TRUE,EMEA,439.19
9b92bad0,e1b23d863c765762,27-02-2021,2021-02-27,2021,2,2,2021-03-01,Nintendo Switch,nintendo switch,e682, $147.00 ,website,direct,direct,desktop,desktop,CH,TRUE,EMEA,147.0
5308b03a,d8e788b6cb236609,27-02-2021,2021-02-27,2021,2,1,2021-02-28,Sony PlayStation 5 Bundle,sony playstation 5 bundle,54ed," $2,004.90 ",website,direct,direct,desktop,desktop,FR,TRUE,EMEA,2004.9
bbf2b237,d6eef9c42ae79569,27-02-2021,2021-02-27,2021,2,1,2021-02-28,27in 4K gaming monitor,27in 4k gaming monitor,891b, $456.00 ,website,direct,direct,desktop,desktop,US,TRUE,NA,456.0
